Fighter 1,Fighter 1 KD,Fighter 1 Sig STR,Fighter 1 Sig Str Percent,Fighter 1 TD,Fighter 1 TD Percent,Fighter 1 Sub AttemptFighter 1 Rev,Fighter 1 Control,Fighter 1 Significant Head Strikes,Fighter 1 Significant Body Strikes,Fighter 1 Significant Leg Strikes,Fight 1 Significatn Distane Strikes,Fighter 1 Significant Clinch Strikes,Fighter 1 Significant Ground Strikes,Fighter 2,Fighter 2 KD,Fighter 2 Sig STR,Fighter 2 Sig Str Percent,Fighter 2 TD,Fighter 2 TD Percent,Fighter 2 Sub AttemptFighter 2 Rev,Fighter 2 Control,Fighter 2 Significant Head Strikes,Fighter 2 Significant Body Strikes,Fighter 2 Significant Leg Strikes,Fight 2 Significatn Distane Strikes,Fighter 2 Significant Clinch Strikes,Fighter 2 Significant Ground Strikes
Jasmine Jasudavicius,1,93 of 120,77%,326 of 398,2 of 5,40%,3,0,11:25,84 of 109,6 of 8,3 of 3,23 of 34,2 of 3,68 of 83,Priscila Cachoeira,0,24 of 50,24 of 50,48%,26 of 52,0 of 0,---,0,0,0:05,19 of 44,3 of 4,2 of 2,20 of 45,0 of 0,4 of 5
Malcolm Gordon,0,37 of 70,52%,74 of 116,1 of 1,100%,1,0,4:13,35 of 67,2 of 3,0 of 0,18 of 41,5 of 5,14 of 24,Jimmy Flick,0,3 of 7,3 of 7,42%,7 of 11,1 of 4,25%,4,0,1:07,2 of 5,0 of 1,1 of 1,3 of 7,0 of 0,0 of 0
Magomed Ankalaev,1,39 of 58,67%,39 of 58,0 of 0,---,0,0,0:05,8 of 22,6 of 7,25 of 29,38 of 57,0 of 0,1 of 1,Johnny Walker,0,24 of 71,24 of 71,33%,26 of 73,0 of 0,---,0,0,0:00,2 of 34,3 of 6,19 of 31,24 of 71,0 of 0,0 of 0
Jim Miller,0,80 of 140,57%,96 of 157,2 of 2,100%,1,0,3:55,50 of 108,10 of 12,20 of 20,67 of 125,5 of 7,8 of 8,Gabriel Benitez,0,80 of 182,80 of 182,43%,84 of 188,0 of 0,---,0,0,0:01,51 of 145,13 of 21,16 of 16,79 of 181,1 of 1,0 of 0
Ricky Simon,0,45 of 108,41%,52 of 115,2 of 13,15%,0,0,3:00,33 of 95,4 of 4,8 of 9,44 of 106,1 of 2,0 of 0,Mario Bautista,0,112 of 270,112 of 270,41%,118 of 276,0 of 3,0%,0,0,0:14,76 of 219,31 of 42,5 of 9,110 of 266,2 of 3,0 of 1
Phil Hawes,0,13 of 27,48%,13 of 28,0 of 1,0%,0,0,0:00,8 of 18,4 of 7,1 of 2,12 of 24,1 of 3,0 of 0,Brunno Ferreira,1,19 of 43,19 of 43,44%,24 of 49,1 of 4,25%,0,0,1:37,18 of 38,0 of 4,1 of 1,15 of 33,0 of 3,4 of 7
Andrei Arlovski,0,58 of 127,45%,58 of 127,0 of 0,---,0,0,0:00,13 of 63,22 of 40,23 of 24,58 of 127,0 of 0,0 of 0,Waldo Cortes-Acosta,0,49 of 136,49 of 136,36%,50 of 137,0 of 0,---,0,0,0:00,24 of 97,11 of 19,14 of 20,46 of 131,3 of 5,0 of 0
Matthew Semelsberger,0,28 of 69,40%,33 of 77,1 of 2,50%,2,0,3:08,18 of 55,4 of 8,6 of 6,23 of 60,3 of 7,2 of 2,Preston Parsons,0,47 of 87,47 of 87,54%,116 of 165,7 of 11,63%,2,1,6:26,25 of 62,9 of 11,13 of 14,25 of 59,11 of 13,11 of 15
Marcus McGhee,1,65 of 123,52%,74 of 134,1 of 3,33%,0,0,1:47,57 of 114,7 of 8,1 of 1,52 of 108,3 of 4,10 of 11,Gaston Bolanos,0,28 of 81,28 of 81,34%,28 of 82,0 of 0,---,0,0,0:04,14 of 57,7 of 14,7 of 10,28 of 81,0 of 0,0 of 0
Farid Basharat,0,42 of 100,42%,55 of 116,5 of 16,31%,1,0,6:58,14 of 53,7 of 19,21 of 28,39 of 92,2 of 5,1 of 3,Taylor Lapilus,0,40 of 93,40 of 93,43%,41 of 94,0 of 0,---,0,0,0:02,24 of 67,11 of 16,5 of 10,34 of 86,2 of 3,4 of 4
Westin Wilson,0,11 of 36,30%,11 of 36,0 of 3,0%,0,0,0:04,8 of 28,0 of 5,3 of 3,11 of 35,0 of 1,0 of 0,Jean Silva,1,25 of 36,25 of 36,69%,25 of 36,1 of 1,100%,0,0,0:08,24 of 32,1 of 4,0 of 0,23 of 34,2 of 2,0 of 0
Nikolas Motta,1,21 of 40,52%,21 of 40,0 of 0,---,0,0,0:09,19 of 35,2 of 5,0 of 0,8 of 19,0 of 1,13 of 20,Tom Nolan,0,12 of 20,12 of 20,60%,12 of 20,0 of 0,---,0,0,0:00,5 of 13,5 of 5,2 of 2,11 of 18,1 of 2,0 of 0
Joshua Van,1,83 of 141,58%,154 of 222,1 of 1,100%,0,0,1:14,63 of 116,15 of 19,5 of 6,61 of 115,9 of 11,13 of 15,Felipe Bunes,0,50 of 91,50 of 91,54%,57 of 101,2 of 6,33%,0,0,2:02,29 of 64,11 of 16,10 of 11,49 of 90,1 of 1,0 of 0
Leon Edwards,0,57 of 108,52%,65 of 116,2 of 3,66%,2,1,1:27,21 of 62,14 of 21,22 of 25,56 of 107,0 of 0,1 of 1,Colby Covington,0,44 of 126,44 of 126,34%,109 of 194,2 of 10,20%,0,0,5:04,20 of 86,7 of 12,17 of 28,44 of 125,0 of 1,0 of 0
Alexandre Pantoja,0,95 of 156,60%,126 of 195,8 of 14,57%,1,0,15:51,49 of 101,22 of 30,24 of 25,74 of 130,5 of 6,16 of 20,Brandon Royval,0,111 of 204,111 of 204,54%,281 of 390,0 of 1,0%,0,2,0:47,102 of 193,7 of 9,2 of 2,91 of 177,5 of 6,15 of 21
Shavkat Rakhmonov,0,28 of 36,77%,73 of 88,1 of 5,20%,2,0,7:45,24 of 31,4 of 5,0 of 0,5 of 8,10 of 15,13 of 13,Stephen Thompson,0,16 of 25,16 of 25,64%,26 of 37,0 of 0,---,0,0,0:00,6 of 15,7 of 7,3 of 3,13 of 22,1 of 1,2 of 2
Tony Ferguson,0,62 of 105,59%,90 of 134,0 of 0,---,0,0,0:00,35 of 66,23 of 35,4 of 4,51 of 91,0 of 0,11 of 14,Paddy Pimblett,1,106 of 165,106 of 165,64%,151 of 217,1 of 4,25%,0,0,8:53,73 of 127,13 of 17,20 of 21,66 of 109,0 of 0,40 of 56
Josh Emmett,1,2 of 10,20%,2 of 10,0 of 0,---,0,0,0:00,1 of 4,1 of 5,0 of 1,2 of 10,0 of 0,0 of 0,Bryce Mitchell,0,0 of 3,0 of 3,0%,0 of 3,0 of 0,---,0,0,0:00,0 of 1,0 of 0,0 of 2,0 of 3,0 of 0,0 of 0
Alonzo Menifield,1,68 of 117,58%,95 of 145,1 of 2,50%,0,0,2:03,58 of 104,2 of 4,8 of 9,51 of 94,14 of 20,3 of 3,Dustin Jacoby,0,93 of 150,93 of 150,62%,113 of 171,0 of 0,---,0,0,2:08,69 of 122,15 of 18,9 of 10,78 of 135,15 of 15,0 of 0
Irene Aldana,0,145 of 308,47%,145 of 308,0 of 0,---,0,0,0:00,122 of 276,20 of 28,3 of 4,145 of 308,0 of 0,0 of 0,Karol Rosa,0,204 of 350,204 of 350,58%,204 of 350,0 of 1,0%,0,0,0:00,103 of 237,6 of 11,95 of 102,204 of 349,0 of 1,0 of 0
Cody Garbrandt,1,20 of 41,48%,21 of 42,0 of 0,---,0,0,0:19,16 of 37,2 of 2,2 of 2,16 of 35,4 of 6,0 of 0,Brian Kelleher,0,17 of 25,17 of 25,68%,21 of 29,0 of 1,0%,0,0,0:36,9 of 13,1 of 3,7 of 9,17 of 24,0 of 1,0 of 0
Casey O'Neill,0,31 of 74,41%,32 of 75,0 of 2,0%,0,0,0:20,17 of 57,3 of 3,11 of 14,29 of 72,2 of 2,0 of 0,Ariane Lipski,0,64 of 127,64 of 127,50%,86 of 152,1 of 1,100%,1,0,0:58,45 of 106,16 of 18,3 of 3,37 of 95,9 of 11,18 of 21
Tagir Ulanbekov,1,24 of 41,58%,45 of 63,2 of 2,100%,5,1,6:03,19 of 35,4 of 5,1 of 1,15 of 32,5 of 5,4 of 4,Cody Durden,0,32 of 43,32 of 43,74%,55 of 67,0 of 0,---,0,0,0:36,22 of 31,3 of 3,7 of 9,24 of 34,3 of 4,5 of 5
Andre Fili,1,20 of 36,55%,25 of 42,0 of 0,---,0,0,0:15,16 of 29,3 of 6,1 of 1,8 of 21,0 of 0,12 of 15,Lucas Almeida,0,10 of 25,10 of 25,40%,10 of 25,0 of 0,---,0,0,0:00,1 of 11,0 of 1,9 of 13,10 of 25,0 of 0,0 of 0
Martin Buday,0,8 of 20,40%,13 of 26,0 of 2,0%,0,0,0:20,8 of 19,0 of 1,0 of 0,8 of 17,0 of 3,0 of 0,Shamil Gaziev,0,49 of 98,49 of 98,50%,60 of 114,0 of 0,---,0,0,2:18,35 of 79,14 of 19,0 of 0,35 of 73,5 of 10,9 of 15
Song Yadong,0,77 of 165,46%,160 of 283,2 of 3,66%,0,0,11:01,35 of 100,12 of 20,30 of 45,49 of 127,4 of 6,24 of 32,Chris Gutierrez,0,87 of 145,87 of 145,60%,105 of 165,0 of 2,0%,0,0,0:00,8 of 39,3 of 15,76 of 91,87 of 145,0 of 0,0 of 0
Anthony Smith,0,47 of 84,55%,52 of 89,0 of 2,0%,0,0,0:11,27 of 62,14 of 16,6 of 6,46 of 83,1 of 1,0 of 0,Khalil Rountree Jr.,1,53 of 114,53 of 114,46%,56 of 118,0 of 0,---,0,0,0:58,33 of 94,14 of 14,6 of 6,51 of 109,1 of 3,1 of 2
Nasrat Haqparast,2,16 of 29,55%,18 of 31,0 of 0,---,0,0,0:05,14 of 27,2 of 2,0 of 0,4 of 13,6 of 8,6 of 8,Jamie Mullarkey,0,8 of 23,8 of 23,34%,8 of 23,0 of 0,---,0,0,0:00,3 of 16,2 of 4,3 of 3,8 of 23,0 of 0,0 of 0
Tim Elliott,0,10 of 21,47%,26 of 37,1 of 3,33%,1,0,2:05,6 of 13,0 of 1,4 of 7,8 of 18,2 of 2,0 of 1,Sumudaerji,0,10 of 25,10 of 25,40%,10 of 25,0 of 0,---,0,0,0:00,6 of 19,3 of 4,1 of 2,10 of 25,0 of 0,0 of 0
